CUENTA_USUARIO,ALIAS,DESTINATARIOS,CODIGO_INSTITUCION,TIPO_CUENTA,CUENTA,LIMITE_DE_OPERACION,Num_Operaciones,RFC_OBLIGATORIO,Email,TIPO_PERSONA
5062,uatkins,Lindsey Evans,40014,CLABE,014889981417817170,67763,43,CAHA920925C7U,tyler21@example.net,FISICA
5777,ywoods,Alejandro Simmons,40002,CLABE,002426547697858203,47882,1,HAY120523IX8,donaldwilson@example.com,MORAL
9593,mdavenport,Robert Martinez,40044,CLABE,044822667746645990,41652,18,BOW200209DPF,pateldarrell@example.com,MORAL
7177,mark69,Meredith Miller,40012,CLABE,012812998022284734,80416,46,GON060725LNQ,crystal56@example.org,MORAL
5617,brooke28,Jacqueline Hill,40021,CLABE,021198409777459433,15347,23,ROLR0010315P7,dphillips@example.org,FISICA
5401,rhood,Thomas Chambers,40012,CLABE,012585953089196426,86514,46,PAMK3610237HD,michelemiller@example.org,FISICA
3363,sarahlee,Jorge Petty,40014,CLABE,014529241141127303,20921,46,SIL210411PX4,coxpaul@example.org,MORAL
6591,gregory98,Brittany Powers,40021,CLABE,021370394639915328,17053,31,SAN0710223GP,taradouglas@example.net,MORAL
6887,floresjessica,Connie Ponce,40002,CLABE,002599291320854198,87202,35,EDW230901WY5,darellano@example.net,MORAL
2471,calebharris,Frederick Fowler,40021,CLABE,021652565891398224,10020,38,MCSN410115URA,moorerobin@example.org,FISICA
2536,hgarcia,Tracy Bradley,40002,CLABE,002073861500217981,31388,36,ALL030917OH9,cassandracain@example.net,MORAL
7341,tyler16,Lisa Jenkins,40002,CLABE,002996249823745802,90134,44,VEDR0505098YK,gpatton@example.org,FISICA
4486,andrea92,Alison Armstrong,40044,CLABE,044874792582755012,26924,45,MAR071006EIG,wagnerleah@example.net,MORAL
6454,agross,Amy Oliver,40021,CLABE,021475073726331249,1743,17,LEYL980817RYW,pmelendez@example.com,FISICA
4128,markmartinez,Ivan Wilkins,40021,CLABE,021285511734185583,71285,42,WAT240129G4H,charles65@example.org,MORAL
3201,padillajeremy,Mr. Christopher Gonzalez DDS,40014,CLABE,014790439214749096,9702,33,WHI141226C1F,coreymitchell@example.org,MORAL
6786,chungbrittany,Micheal Evans,40014,CLABE,014450957479076764,45808,6,DIC090131IJC,gary02@example.com,MORAL
8829,marshallgabrielle,Henry Sloan,40012,CLABE,012917703082785693,94243,20,COSB460913BPP,osummers@example.com,FISICA
3278,hannahrichards,Jeffrey Mccoy,40014,CLABE,014130641748778183,29285,9,RESD9311155FB,dbowen@example.com,FISICA
8865,rschmidt,Alvin Taylor,40044,CLABE,044633452823945441,12326,6,ADYN8007140U3,nwilliams@example.org,FISICA
8376,amy45,Jeffrey Silva,40014,CLABE,014397835089522212,5430,31,CHR0707138AL,erikanderson@example.com,MORAL
8345,lisa94,Lisa Dominguez,40002,CLABE,002535920095810119,44194,27,WOAA570821CZO,ashlee29@example.net,FISICA
6857,heather67,Marie Hardy,40044,CLABE,044298162253607482,78365,49,CUM200906H5E,cindy91@example.net,MORAL
3296,lopezvanessa,Stephen Escobar,40021,CLABE,021070918060198041,22062,23,BEN060526EHO,erivera@example.com,MORAL
2915,hdavis,Katie Howard,40044,CLABE,044729332009066875,94645,11,JEN020513PM1,jacksonnicholas@example.com,MORAL
2863,douglastracy,Melissa Moore,40002,CLABE,002032961776350103,38059,17,PAR161228NND,jennifertorres@example.net,MORAL
8742,blackdwayne,Angela Madden,40021,CLABE,021359943906928367,57414,43,ARTK710531C5W,maldonadojamie@example.com,FISICA
5306,meghanmorales,Haley Lopez,40012,CLABE,012852959262666718,95928,32,LIJM4001294XR,wheelerdavid@example.org,FISICA
6267,yhoover,Jacob Vargas,40021,CLABE,021109836867766987,33595,31,AND0207260QM,landerson@example.org,MORAL
4872,gloveradam,Brittany Novak,40002,CLABE,002562179408738192,76860,30,OLI020409ERI,patricia76@example.com,MORAL
8679,mary82,Timothy Collier,40014,CLABE,014233293112631561,49562,3,HISA780613X2D,steven82@example.net,FISICA
8931,hdavidson,Jacqueline Torres,40014,CLABE,014655547571729194,50776,34,MOR120331J1X,hmitchell@example.com,MORAL
4765,gabriel19,Donna Maldonado,40021,CLABE,021100998300810462,16198,49,TRER530728MX1,cranejennifer@example.com,FISICA
6175,carrollmichael,Chad Bryant,40021,CLABE,021255092805583070,81154,15,MOR191217ZHR,bryanchandler@example.org,MORAL
4105,dwilliams,Carrie Calderon,40014,CLABE,014016998770650572,4993,48,LOGT370225BU0,hammondbenjamin@example.net,FISICA
5756,odomjennifer,Karen Mckee,40012,CLABE,012838067427232665,75656,23,BRO220103LZ2,tanya33@example.org,MORAL
1524,christopher35,Evan Jackson,40044,CLABE,044986103504497149,93499,45,HAY220830XC8,vmiller@example.com,MORAL
9670,harold09,Jessica Bell,40021,CLABE,021161135646308315,33618,27,BRSS940921828,ufoster@example.net,FISICA
6908,alexandermays,Jay Hill,40002,CLABE,002630942218479818,10786,7,SAN060924E5H,paularuiz@example.org,MORAL
4041,collinsashley,Joseph Adams,40012,CLABE,012821155873207029,68368,14,SCCJ7904237UO,mollyharrison@example.com,FISICA
3678,blancharddouglas,Rodney Sweeney,40014,CLABE,014057091903772931,81039,4,DIJR5702254O3,mhenry@example.net,FISICA
5143,nicholasstanley,Christine Watson,40021,CLABE,021333337208323583,73722,5,CHDS770314YC1,ericmckinney@example.com,FISICA
6521,richardday,Marvin Holloway,40012,CLABE,012273139142053410,54848,34,MIL090213DHB,phillipsashley@example.org,MORAL
3684,elizabethpeters,Bobby Rodriguez,40021,CLABE,021146161443832510,41386,4,STGA361030NVV,kylewood@example.com,FISICA
5904,brianstevens,Deborah Robinson,40044,CLABE,044006644628203085,8162,48,RIMC5311091OV,randall49@example.org,FISICA
2161,josepatterson,Austin Rivera,40002,CLABE,002172012768331581,41070,11,SIM190627YK4,elizabethgonzalez@example.net,MORAL
7142,howardmargaret,Paul Campbell,40021,CLABE,021900795728198296,30033,48,HIKK8401017SV,eharris@example.net,FISICA
9136,gregstevens,Laura Chavez,40044,CLABE,044378314958592238,16836,46,HURM580629799,foxmichelle@example.com,FISICA
4306,curtis36,Rachel Cruz,40044,CLABE,044089975744559279,22466,47,MCTJ9109086L5,scotthines@example.net,FISICA
7143,russellrenee,Vicki Gomez,40012,CLABE,012088055264641334,89644,7,MIT2211155NA,thomasjesse@example.org,MORAL
8917,ryansweeney,Stephen Benson,40002,CLABE,002557990695281654,21394,5,HOL151207BVQ,amendez@example.net,MORAL
